"class";"age";"si";"dens";"aspect";"shannon";"x";"y";"z"
0;110;26,22;207,296401977539;279,818237304688;0,425489217042923;498878,294208618;244201,482932215;262,06103515625
0;133;22,24;211,670288085938;204,23713684082;0,514059782028198;509209,567461034;254124,438702699;264,754241943359
0;96;23,34;286,543731689453;284,055145263672;0,356446087360382;481014,754169703;296161,754941309;259,634246826172
0;60;25,01;366,258270263672;219,180892944336;0,426979064941406;504418,97358442;352118,488925125;202,424468994141
0;57;35,07;392,000549316406;184,123718261719;0,435892343521118;442911,591051216;338033,293831823;202,90966796875
0;72;34,36;262,144470214844;271,062561035156;0,599393367767334;528804,686373631;311676,037589849;340,789764404297
0;30;35,5;393,312622070312;184,074432373047;0,360719561576843;467206,867215656;327318,342532944;260,593170166016
0;83;28,6;234,856430053711;255,314743041992;0,404563158750534;524650,612698976;243529,806994245;238,357696533203
0;74;31,66;366,235504150391;309,027862548828;0,255196630954742;506525,486425609;295499,273818118;314,851348876953
0;67;30,13;341,727630615234;279,96630859375;0,439002513885498;510298,523878648;307827,6629515;316,523620605469
0;41;33,72;489,486389160156;235,572784423828;0,438307136297226;477768,249524978;294887,434622548;263,134521484375
0;69;34,11;264,848236083984;287,757507324219;0,539680004119873;492326,206574075;333361,525711904;277,795745849609
0;71;31,55;337,927581787109;211,846588134766;0,370893687009811;486570,97780834;294454,364709438;277,632385253906
0;101;27,46;254,752960205078;286,834350585938;0,576489269733429;477281,560448588;245609,75713556;254,3134765625
0;34;35,48;517,562683105469;131,539276123047;0,450925916433334;494930,151494195;296471,074568004;296,777709960938
0;42;36;314,878662109375;96,4796600341797;0,599393308162689;526867,761396199;311392,714319943;356,909301757812
0;106;25,8;197,510269165039;214,748641967773;0,61495304107666;480890,426242411;258653,539493155;267,158081054688
0;78;28,14;393,065002441406;296,954833984375;0,400542587041855;527216,373628961;263039,742435168;301,773651123047
0;30;36,9;484,110443115234;155,277893066406;0,259880214929581;469024,757577199;308500,331225039;238,05696105957
0;88;29,23;264,197021484375;210,536209106445;0,480334520339966;516164,527282568;258632,878950656;256,378326416016
0;94;24,1;396,889373779297;72,614387512207;0,308961570262909;453673,531876416;318242,581634528;230,445770263672
0;78;27,09;346,437469482422;206,351013183594;0,400542587041855;527694,188993456;258529,345909336;324,153717041016
0;111;25,06;207,349975585938;174,308029174805;0,405677229166031;456725,669722143;314314,224614602;213,824295043945
0;123;21,55;231,960021972656;53,9653930664062;0,584001839160919;495379,207673538;259619,962407212;288,273834228516
0;66;31,84;329,283874511719;276,628997802734;0,488636881113052;487631,732728219;321580,879609709;274,268035888672
0;81;29,71;224,640655517578;225,717834472656;0,327749878168106;465376,570250224;304258,598343728;221,954666137695
0;49;37,59;356,335144042969;261,074890136719;0,443100929260254;450473,863199891;299063,648121663;222,181335449219
0;46;31,87;208,306762695312;190,617492675781;0,3933385014534;534665,799406148;338003,232125994;227,737411499023
